,aldex2,ancom,corncob,deseq2,edger,lefse,maaslin2,maaslin2rare,metagenomeSeq,ttestrare,wilcoxonclr,wilcoxonrare,limma_voom_TMM,limma_voom_TMMwsp
aldex2,0,0.653610719,0.821713594,0.687588348,0.935881888,0.93063992,0.548451561,0.492793825,0.627973346,0.467961637,0.528014132,0.441310268,0.776366292,0.763182037
ancom,0.653610719,0,0.855799841,0.751785724,0.924271846,0.900457391,0.753879953,0.783031487,0.758323562,0.727503314,0.76420723,0.712776488,0.75572081,0.81183818
corncob,0.821713594,0.855799841,0,0.680550007,0.766383774,0.77494817,0.673082414,0.714978087,0.752000115,0.803567403,0.834408634,0.733116586,0.823601128,0.798099598
deseq2,0.687588348,0.751785724,0.680550007,0,0.784211682,0.770167961,0.686375701,0.710839651,0.70998379,0.726502905,0.729101926,0.67418206,0.711065192,0.734547615
edger,0.935881888,0.924271846,0.766383774,0.784211682,0,0.743054555,0.846770476,0.862903024,0.869122866,0.923843744,0.929891945,0.861003558,0.908621732,0.920379676
lefse,0.93063992,0.900457391,0.77494817,0.770167961,0.743054555,0,0.778966196,0.812591475,0.850427014,0.922512893,0.917235518,0.799953146,0.877361726,0.885193599
maaslin2,0.548451561,0.753879953,0.673082414,0.686375701,0.846770476,0.778966196,0,0.354434936,0.506205165,0.581666277,0.65923159,0.389105841,0.807786156,0.711393701
maaslin2rare,0.492793825,0.783031487,0.714978087,0.710839651,0.862903024,0.812591475,0.354434936,0,0.558435382,0.498122303,0.67066532,0.249637516,0.798109055,0.759276617
metagenomeSeq,0.627973346,0.758323562,0.752000115,0.70998379,0.869122866,0.850427014,0.506205165,0.558435382,0,0.621884292,0.696150051,0.533943116,0.783856318,0.737895184
ttestrare,0.467961637,0.727503314,0.803567403,0.726502905,0.923843744,0.922512893,0.581666277,0.498122303,0.621884292,0,0.610996086,0.484944901,0.794464708,0.781706757
wilcoxonclr,0.528014132,0.76420723,0.834408634,0.729101926,0.929891945,0.917235518,0.65923159,0.67066532,0.696150051,0.610996086,0,0.616081151,0.65874329,0.477892685
wilcoxonrare,0.441310268,0.712776488,0.733116586,0.67418206,0.861003558,0.799953146,0.389105841,0.249637516,0.533943116,0.484944901,0.616081151,0,0.759870397,0.721211398
limma_voom_TMM,0.776366292,0.75572081,0.823601128,0.711065192,0.908621732,0.877361726,0.807786156,0.798109055,0.783856318,0.794464708,0.65874329,0.759870397,0,0.619710505
limma_voom_TMMwsp,0.763182037,0.81183818,0.798099598,0.734547615,0.920379676,0.885193599,0.711393701,0.759276617,0.737895184,0.781706757,0.477892685,0.721211398,0.619710505,0
